Sample,Data
0,219
0,552
0,935
1,431
2,493
3,568
4,994
5,995
6,994
7,987
8,139
9,226
10,284
11,348
12,419
13,487
14,221
15,888
16,996
17,680
18,172
19,207
20,349
21,418
22,489
23,493
24,360
25,995
26,993
27,147
28,210
29,245
30,411
31,402
32,516
33,491
34,993
35,994
36,164
37,101
38,226
39,298
40,328
41,389
42,435
43,487
44,522
45,995
46,995
47,159
48,158
49,251
50,373
51,453
52,425
53,643
54,605
55,995
56,224
57,149
58,224
59,263
60,353
61,442
62,460
63,276
64,679
65,995
66,945
67,172
68,166
69,260
70,338
71,418
72,531
73,414
74,995
75,996
76,179
77,189
78,299
79,359
80,470
81,512
82,638
83,994
84,744
85,201
86,269
87,335
88,441
89,479
90,472
91,508
92,993
93,995
94,991
95,187
96,209
97,243
98,376
99,411
100,467
101,488
102,787
103,995
104,992
105,147
106,219
107,260
108,329
109,502
110,348
111,791
112,995
113,991
114,178
115,231
116,292
117,339
118,400
119,413
120,995
121,995
122,833
123,179
124,197
125,350
126,382
127,445
128,473
129,568
130,971
131,995
132,635
133,179
134,208
135,349
136,414
137,451
138,717
139,994
140,996
141,805
142,223
143,305
144,427
145,486
146,510
147,799
148,622
149,989
150,993
151,607
152,124
153,204
154,286
155,416
156,471
157,570
158,992
159,677
160,184
161,245
162,347
163,429
164,482
165,656
166,994
167,408
168,204
169,374
170,462
171,525
172,566
173,995
174,339
175,130
176,309
177,384
178,447
179,523
180,994
181,737
182,159
183,215
184,312
185,426
186,483
187,576
188,995
189,995
190,197
191,245
192,441
193,987
194,995
195,438
196,438
197,507
198,416
199,465
200,482
201,538
202,611
203,992
204,559
205,708
206,302
207,238
208,286
209,300
210,353
211,383
212,399
213,437
214,337
215,271
216,285
217,340
218,374
219,484
220,501
221,739
222,884
223,241
224,301
225,403
226,387
227,430
228,485
229,570
230,989
231,680
232,202
233,288
234,346
235,439
236,488
237,687
238,995
239,900
240,207
241,205
242,259
243,378
244,447
245,302
246,994
247,995
248,189
249,247
250,292
251,392
252,470
253,621
254,737
255,995
256,692
257,243
258,346
259,378
260,480
261,327
262,740
263,995
264,994
265,212
266,177
267,293
268,380
269,427
270,538
271,549
272,870
273,994
274,275
275,235
276,298
277,371
278,425
279,352
280,989
281,995
282,388
283,288
284,361
285,404
286,476
287,669
288,746
289,995
290,233
291,353
292,463
293,767
294,995
295,994
296,552
297,515
298,993
299,926
300,477
301,438
302,569
303,577
304,301
305,410
306,284
307,216
308,234
309,281
310,309
311,392
312,479
313,730
314,524
315,289
316,359
317,405
318,397
319,454
320,565
